,count,tract,date
483,142,48201433201,2021-01-16
484,225,48201433202,2021-01-16
485,210,48201433300,2021-01-16
486,98,48201433400,2021-01-16
487,165,48201433501,2021-01-16
488,259,48201433502,2021-01-16
489,206,48201433600,2021-01-16
490,211,48201440100,2021-01-16
491,79,48201450100,2021-01-16
492,421,48201450200,2021-01-16
493,438,48201450300,2021-01-16
494,250,48201450400,2021-01-16
495,140,48201450500,2021-01-16
496,340,48201450600,2021-01-16
497,594,48201450700,2021-01-16
498,161,48201450801,2021-01-16
499,425,48201450802,2021-01-16
500,69,48201450900,2021-01-16
501,172,48201451001,2021-01-16
502,229,48201451002,2021-01-16
503,198,48201451100,2021-01-16
504,150,48201451200,2021-01-16
505,256,48201451300,2021-01-16
506,220,48201451401,2021-01-16
507,185,48201451402,2021-01-16
508,302,48201451403,2021-01-16
509,275,48201451500,2021-01-16
510,258,48201451601,2021-01-16
511,532,48201451602,2021-01-16
512,211,48201451700,2021-01-16
513,289,48201451800,2021-01-16
514,355,48201451901,2021-01-16
515,138,48201451902,2021-01-16
516,316,48201452000,2021-01-16
517,416,48201452100,2021-01-16
518,238,48201452201,2021-01-16
519,108,48201452202,2021-01-16
520,117,48201452300,2021-01-16
521,294,48201452400,2021-01-16
522,300,48201452500,2021-01-16
523,261,48201452600,2021-01-16
524,445,48201452700,2021-01-16
525,178,48201452801,2021-01-16
526,187,48201452802,2021-01-16
527,166,48201452900,2021-01-16
528,286,48201453000,2021-01-16
529,147,48201453100,2021-01-16
530,229,48201453200,2021-01-16
531,132,48201453300,2021-01-16
532,74,48201453401,2021-01-16
533,269,48201453402,2021-01-16
534,167,48201453403,2021-01-16
535,267,48201453501,2021-01-16
536,143,48201453502,2021-01-16
537,45,48201453601,2021-01-16
538,260,48201453602,2021-01-16
539,319,48201453700,2021-01-16
540,77,48201453800,2021-01-16
541,357,48201453900,2021-01-16
542,215,48201454000,2021-01-16
543,121,48201454100,2021-01-16
544,176,48201454200,2021-01-16
545,517,48201454301,2021-01-16
546,248,48201454302,2021-01-16
547,171,48201454400,2021-01-16
548,430,48201454501,2021-01-16
549,115,48201454502,2021-01-16
550,352,48201454600,2021-01-16
551,435,48201454700,2021-01-16
552,556,48201454800,2021-01-16
553,643,48201454900,2021-01-16
554,154,48201455000,2021-01-16
555,427,48201455101,2021-01-16
556,202,48201455102,2021-01-16
557,283,48201455200,2021-01-16
558,492,48201455300,2021-01-16
559,57,48201510100,2021-01-16
560,225,48201510200,2021-01-16
561,164,48201510300,2021-01-16
562,116,48201510400,2021-01-16
563,166,48201510500,2021-01-16
564,277,48201510600,2021-01-16
565,84,48201510700,2021-01-16
566,275,48201510800,2021-01-16
567,333,48201510900,2021-01-16
568,123,48201511001,2021-01-16
569,168,48201511002,2021-01-16
570,190,48201511100,2021-01-16
571,172,48201511200,2021-01-16
572,99,48201511301,2021-01-16
573,134,48201511302,2021-01-16
574,69,48201511400,2021-01-16
575,223,48201511500,2021-01-16
576,116,48201511600,2021-01-16
577,117,48201520100,2021-01-16
578,251,48201520200,2021-01-16
579,218,48201520300,2021-01-16
580,159,48201520400,2021-01-16
581,223,48201520500,2021-01-16
582,139,48201520601,2021-01-16
583,223,48201520602,2021-01-16
584,290,48201520700,2021-01-16
585,102,48201521000,2021-01-16
586,69,48201521100,2021-01-16
587,244,48201521200,2021-01-16
588,388,48201521300,2021-01-16
589,266,48201521400,2021-01-16
590,202,48201521500,2021-01-16
591,157,48201521600,2021-01-16
592,389,48201521700,2021-01-16
593,306,48201521800,2021-01-16
594,348,48201521900,2021-01-16
595,186,48201522000,2021-01-16
596,426,48201522100,2021-01-16
597,188,48201522201,2021-01-16
598,181,48201522202,2021-01-16
599,138,48201522301,2021-01-16
600,96,48201522302,2021-01-16
601,219,48201522401,2021-01-16
602,190,48201522402,2021-01-16
603,423,48201522500,2021-01-16
604,240,48201530100,2021-01-16
605,172,48201530200,2021-01-16
606,99,48201530300,2021-01-16
607,133,48201530400,2021-01-16
608,220,48201530500,2021-01-16
609,120,48201530600,2021-01-16
610,228,48201530700,2021-01-16
611,181,48201530800,2021-01-16
612,182,48201530900,2021-01-16
613,175,48201531000,2021-01-16
614,101,48201531100,2021-01-16
615,188,48201531200,2021-01-16
616,230,48201531300,2021-01-16
617,287,48201531400,2021-01-16
618,123,48201531500,2021-01-16
619,141,48201531600,2021-01-16
620,136,48201531700,2021-01-16
621,230,48201531800,2021-01-16
622,229,48201531900,2021-01-16
623,341,48201532001,2021-01-16
624,79,48201532002,2021-01-16
625,245,48201532100,2021-01-16
626,164,48201532200,2021-01-16
627,327,48201532300,2021-01-16
628,384,48201532400,2021-01-16
629,560,48201532501,2021-01-16
630,273,48201532502,2021-01-16
631,354,48201532600,2021-01-16
632,212,48201532700,2021-01-16
633,67,48201532800,2021-01-16
634,215,48201532900,2021-01-16
635,116,48201533000,2021-01-16
636,361,48201533100,2021-01-16
637,174,48201533200,2021-01-16
638,203,48201533300,2021-01-16
639,455,48201533400,2021-01-16
640,171,48201533500,2021-01-16
641,264,48201533600,2021-01-16
642,719,48201533701,2021-01-16
643,167,48201533702,2021-01-16
644,638,48201533801,2021-01-16
645,328,48201533802,2021-01-16
646,367,48201533901,2021-01-16
647,146,48201533902,2021-01-16
648,174,48201534001,2021-01-16
649,239,48201534002,2021-01-16
650,146,48201534003,2021-01-16
651,474,48201534100,2021-01-16
652,177,48201534201,2021-01-16
653,590,48201534202,2021-01-16
654,103,48201534203,2021-01-16
655,792,48201540100,2021-01-16
656,139,48201540200,2021-01-16
657,245,48201540501,2021-01-16
658,348,48201540502,2021-01-16
659,264,48201540601,2021-01-16
660,466,48201540602,2021-01-16
661,377,48201540700,2021-01-16
662,542,48201540800,2021-01-16
663,186,48201540901,2021-01-16
664,453,48201540902,2021-01-16
